company_names,about,jobs,location,salaries,reviews,interviews,ratings
Narayana e-Techno School,Education & Training,--,Bengaluru,2k,640,52,3.6
Centaur Pharmaceuticals,Pharma,1,Pune,2.8k,640,33,3.5
Talentpro,Recruitment,61,Chennai,2.3k,639,33,3.8
Carrier,Industrial Machinery,6,Hyderabad,4.5k,639,54,3.6
Alshaya Group,Retail,--,Bengaluru,2.3k,638,48,3.8
Inspirisys Solution,IT Services & Consulting,53,Chennai,3.8k,637,63,3.7
ANAROCK Property Consultants,Real Estate,122,Mumbai,3k,637,64,3.6
NICE,Software Product,68,Pune,4.4k,636,99,3.5
Pennar Industries,Engineering & Construction,2,Hyderabad,3k,636,36,3.4
Ramboll,Engineering & Construction,127,Gurugram,3.2k,636,47,4.0
The Lalit,Hospitality,22,New Delhi,1.6k,635,26,3.5
bp,Oil & Gas,26,Pune,3.9k,635,87,3.7
Encore Capital Group,IT Services & Consulting,--,Gurugram,2.2k,635,36,3.9
ICA Edu Skills,Education & Training,7,Kolkata,1.4k,633,42,3.8
Hetero Healthcare,Pharma,9,Hyderabad,2.3k,632,35,3.5
GKN,Defence & Aerospace,20,Pune,2.3k,633,36,3.9
Khazana Jewellery,Jewellery,24,Chennai,1.7k,633,65,3.9
FCC Clutch,Auto Components,--,Gurugram,2.3k,631,44,3.8
Welspun Corp,Iron & Steel,--,Anjar,2k,631,33,4.0
Mount Litera Zee School,Education & Training,19,Bengaluru,1.5k,630,41,3.7
3M,Electronics Manufacturing,83,Bengaluru,3.2k,630,40,4.0
Corporate Infotech,IT Services & Consulting,6,New Delhi,2.2k,630,83,3.7
Ferrero,Food Processing,14,Pune,2.1k,630,31,3.9
Continental,Auto Components,2,Bengaluru,3.6k,630,58,3.6
Surin Automotive,Industrial Machinery,--,Pune,2k,631,53,3.8
Impetus Technologies,IT Services & Consulting,37,Indore,6.1k,629,113,3.4
Vikram Solar,Power,19,Kolkata,2.3k,630,38,3.6
Philips Innovation Campus,Software Product,--,Bengaluru,4.5k,629,56,3.7
B.L. Kashyap & Sons,Engineering & Construction,14,Bengaluru,1.7k,628,68,3.7
NRB Bearings,Auto Components,5,Chhatrapati Sambhajinagar,2k,627,51,4.1
RealPage,Software Product,10,Hyderabad,4k,628,78,3.6
Electrotherm,Iron & Steel,11,Ahmedabad,2.8k,626,40,4.2
NoBrokerHood,Software Product,8,Bengaluru,2.1k,626,66,2.8
Gainwell Commosales,Industrial Machinery,6,Kolkata,2.3k,626,46,4.0
Crowne Plaza,Hospitality,--,New Delhi,1.2k,626,22,4.1
Geojit Financial Services,Financial Services,17,Kochi,2.2k,626,53,3.4
Ebixcash Global Services,BPO,--,Mumbai,2.1k,625,57,3.2
ExportersIndia,Internet,7,New Delhi,130,626,32,4.9
Me n Moms,Retail,3,Mumbai,1.1k,624,142,4.2
Danfoss Industries,Industrial Machinery,27,Chennai,3.3k,625,43,3.9
TDS Lithium-Ion Battery,Auto Components,--,Ahmedabad,2.1k,624,94,4.2
Danfoss Industries,Industrial Machinery,27,Chennai,3.3k,625,43,3.9
TDS Lithium-Ion Battery,Auto Components,--,Ahmedabad,2.1k,624,94,4.2
Suroj Buildcon,Engineering & Construction,6,Pune,1.6k,623,33,4.1
Revolut,FinTech,--,Bengaluru,2.6k,623,118,2.6
Karvy Stock Broking,Hyderabad +106 other locations,--,Hyderabad,1.6k,622,9,3.6
UKB Electronics Limited,Electronics Manufacturing,7,Noida,2.3k,622,51,3.6
Varthana,NBFC,25,Bengaluru,1.4k,622,46,4.0
Avalon Technologies,Electronics Manufacturing,22,Chennai,3.4k,622,42,3.8
TVS Eurogrip,Auto Components,--,Madurai,2.1k,622,32,3.7
Turbo Energy,Auto Components,--,Chennai,2k,621,24,4.2
Manjushree Technopack,Bengaluru +34 other locations,2,Bengaluru,2.8k,621,46,3.5
Tecnimont,Engineering & Construction,75,Mumbai,2.7k,620,42,3.9
Finova Capital,NBFC,5,Jaipur,1.5k,620,28,3.8
NetConnectGlobal,IT Services & Consulting,225,Bengaluru,2.6k,620,33,3.1
National Stock Exchange of India,Financial Services,6,Mumbai,4.4k,620,54,3.6
Varun Motors,Automobile,3,Hyderabad,2.1k,619,23,3.8
Reliance Jewels,Jewellery,--,Mumbai,1.4k,619,37,3.9
BDO RISE Private Limited,Accounting & Auditing,28,Bengaluru,2.8k,620,78,3.6
Global Healthcare Billing Partners,BPO,85,Chennai,3.6k,620,45,3.3
Trigent Software,IT Services & Consulting,4,Bengaluru,3.9k,618,79,3.4
Sapphire Foods India,Hospitality,28,Mumbai,2k,617,37,3.8
South Indian Bank,Banking,--,Kochi,3.1k,617,49,3.3
Airports Authority of India,Aviation,--,New Delhi,1.8k,618,51,4.2
Suraksha Diagnostic,Healthcare,14,Kolkata,1.6k,616,48,3.7
Careon Healthcare Solutions,Medical Equipment,1,Bengaluru,2.8k,642,9,3.9
Shivam Autotech,Auto Components,--,Gurugram,2.3k,616,37,3.6
ACKO,Insurance,21,Bengaluru,3k,615,60,3.5
Sir H. N. Reliance Foundation Hospital and Research,Healthcare,40,Mumbai,1.1k,615,165,4.3
Collegedunia,Internet,17,Gurugram,3.3k,615,118,3.0
Kaizen IT Services,IT Services & Consulting,--,Kolkata,1.3k,614,38,3.9
Sigma Engineered Solutions,Industrial Machinery,--,Pune,2.4k,614,30,3.9
Pyramid IT Consulting,Recruitment,2,Noida,2.8k,614,27,3.1
Monte Carlo,Fashion & Textile,1,Ahmedabad,2.4k,613,34,4.2
Chaitanya India Fin Credit,NBFC,--,Bengaluru,1.5k,614,35,4.0
Netmeds.com,Pharma,--,Chennai,2.3k,613,49,3.8
Emids Technologies Limited,IT Services & Consulting,23,Bengaluru,5.1k,613,49,3.6
Annalect,Marketing & Advertising,--,Bengaluru,4.2k,612,82,3.4
IDBI Intech Limited,IT Services & Consulting,--,Mumbai,3k,612,54,3.2
Kajaria Ceramics,Building Material,3,New Delhi,2.1k,612,32,3.9
Hitachi Systems Micro Clinic,IT Services & Consulting,--,Mumbai,2.7k,612,32,4.0
Wissen Technology,IT Services & Consulting,90,Bengaluru,5.1k,612,195,3.8
Okaya Power,Electrical Equipment,14,New Delhi,2.2k,612,41,3.7
Suma Soft,IT Services & Consulting,20,Pune,3.2k,612,52,3.5
Maharashtra Seamless,Building Material,1,Mumbai,2.2k,611,60,3.5
Aster Dm Healthcare,Healthcare,126,Bengaluru,2.9k,611,55,3.7
Dr. Batras' Positive Health Clinic,Healthcare,12,Mumbai,1.1k,611,23,3.8
ThoughtWorks,IT Services & Consulting,16,Bengaluru,6.8k,610,172,3.9
Sasken,IT Services & Consulting,34,Bengaluru,4.2k,610,91,3.6
EaseMyTrip.com,Internet,69,New Delhi,1.4k,610,68,4.1
Nucleus Software Exports,Software Product,31,Noida,4.3k,609,47,3.4
CSM Technologies,IT Services & Consulting,30,Bhubaneswar,2.1k,610,34,4.0
InsuranceDekho,Internet,22,Gurugram,2.1k,611,81,3.5
Central Reserve Police Force,Government,--,New Delhi,1.3k,610,9,4.6
Shriram Automall,Internet,--,New Delhi,1.3k,609,47,4.0
Sintex Industries,Industrial Machinery,1,Ahmedabad,2k,610,25,3.9
Gestamp,Auto Components,5,Pune,2.1k,609,23,3.6
Hamilton Housewares,Consumer Electronics & Appliances,16,Mumbai,2.6k,609,41,3.9
SOLAR INDUSTRIES INDIA,Defence & Aerospace,12,Nagpur,2.9k,608,70,3.6
Medcode,IT Services & Consulting,6,Hyderabad,362,608,13,3.9
Sl Lumax,Auto Components,1,Chennai,2.4k,607,31,3.4
Becton Dickinson,Medical Equipment,165,Bengaluru,3.4k,606,36,4.0
IRB Infrastructure,Engineering & Construction,27,Mumbai,1.4k,608,28,3.9
Action Tesa,Building Material,6,Sitarganj,1.3k,608,110,3.9
HDFC Asset Management Company,Financial Services,--,Mumbai,2.5k,606,45,4.1
Ongc Petro Additions,Petrochemicals,--,Bharuch,3.3k,606,35,4.0
MothersonSumi INfotech & Designs,IT Services & Consulting,6,Noida,3.6k,606,37,3.4
Super Smelters,Iron & Steel,3,Asansol,2.1k,606,42,3.7
Serum Institute of India,Biotechnology,--,Pune,3.2k,606,41,4.1
Mavenir Systems,IT Services & Consulting,11,Bengaluru,3.6k,605,62,3.3
Fiem Industries,Auto Components,--,Hosur,2.6k,605,28,3.6
Vedanta Limited,Metals & Mining,19,Lanjigarh,2.7k,605,56,3.8
Finastra,Software Product,50,Bengaluru,4.5k,605,59,3.7
Holiday Inn,Hospitality,--,New Delhi,1.4k,604,16,4.0
Royal Caribbean International,Sports & Recreation,1,Mumbai,727,604,32,4.2
Dhani Services,Mumbai +80 other locations,--,Mumbai,1.2k,603,22,3.7
Einfochips,IT Services & Consulting,148,Ahmedabad,3.8k,603,76,3.5
Schwing Stetter,Industrial Machinery,127,Chennai,2.5k,603,45,3.9
Carnival Cruise Lines,Sports & Recreation,--,Mumbai,691,603,23,4.2
Sapiens,Software Product,1,Bengaluru,5.3k,605,67,3.1
Family Health Plan,Insurance,4,Hyderabad,2k,602,45,3.7
Agrostar,Internet,8,Pune,1.5k,602,64,4.0
Cyfuture,IT Services & Consulting,35,Noida,2.7k,602,108,3.0
Belstar Microfinance,NBFC,--,Chennai,1.5k,601,41,4.0
Godrej Industries,Real Estate,159,Mumbai,2.8k,601,57,4.0
ITC Limited Foods Division,Food Processing,--,Bengaluru,2k,601,73,3.9
ShareChat,Internet,7,Bengaluru,2.6k,601,87,3.6
Grab A Grub Services,Logistics,--,Mumbai,1.8k,601,35,3.9
Royaloak Incorporation,Furniture & Furnishing,22,Bengaluru,1.5k,601,39,3.7
BT E Serv,BPO,--,Kolkata,2.6k,600,54,3.9
Polaris Consulting,IT Services & Consulting,--,Hyderabad,2.8k,600,33,4.1
Jain Irrigation Systems,Agriculture,--,Jalgaon,1.9k,600,31,3.7
BMC Software,Software Product,133,Pune,3.8k,599,52,4.0
Renovision Automation Services,IT Services & Consulting,15,New Delhi,1.8k,600,25,3.3
Cashify,Internet,6,Gurugram,2.6k,599,50,3.8
Kirloskar Ferrous Industries,Iron & Steel,2,Koppal,2.1k,599,32,3.6
Columbia Asia,Healthcare,--,Bengaluru,1.4k,598,19,4.6
Sanghi Industries,Building Material,--,Ahmedabad,2.2k,598,77,4.0
Sudarshan Chemical Industries,Chemicals,--,Roha,2.7k,598,33,3.9
Motilal Oswal Wealth Management,Financial Services,12,Mumbai,394,604,41,4.4
Rocket India,Financial Services,19,Chennai,3.5k,596,112,4.0
Nspira Management Services,BPO,31,Hyderabad,2.5k,596,37,3.7
Blackrock,Financial Services,--,Gurugram,7k,596,119,3.5
Jubilant Agri and Consumer Products,Chemicals,--,Gurugram,1.9k,595,37,3.9
Ugam Solution,IT Services & Consulting,13,Mumbai,3.5k,595,51,3.6
VDA Infosolutions,IT Services & Consulting,1,Pune,1.9k,594,55,3.8
Jayaswal Neco Industries,Iron & Steel,--,Raipur,2k,594,36,4.1
Toyoda Gosei Minda,Auto Components,--,Neemrana,1.8k,594,32,4.2
CSG International,IT Services & Consulting,--,Bengaluru,4.1k,594,59,3.5
Mrs Bector's Food Specialities,Food Processing,3,Greater Noida,1.8k,594,30,3.9
Bridge & Roof Co,Engineering & Construction,--,Kolkata,2.6k,592,27,3.4
IKEA,Retail,1,Bengaluru,2.1k,592,50,4.0
DHL Global Forwarding,Logistics,8,Chennai,3.1k,592,39,4.0
Blackberrys,Fashion & Textile,16,Gurugram,1.8k,592,33,3.7
Finolex Industries,Building Material,--,Pune,2.3k,599,47,3.6
Myk Laticrete,Building Material,15,Hyderabad,2.1k,590,25,3.9
DealShare,Internet,--,Bengaluru,2.5k,590,42,3.6
United Colors of Benetton,Fashion & Textile,1,Gurugram,1.3k,589,23,4.3
Heidelberg Cement,Building Material,1,Damoh,1.9k,589,35,4.1
Hpl Electric & Power,Electrical Equipment,8,Gurugram,2.2k,589,69,3.7
Kellogg,FMCG,--,Mumbai,2.2k,588,31,4.2
Vedang Cellular Services,Telecom,--,Mumbai,1.7k,588,30,3.8
Inspira Enterprise India Limited,IT Services & Consulting,6,Mumbai,3.5k,588,51,3.6
SIS Prosegur Holdings,Law Enforcement & Security,6,New Delhi,1.5k,588,19,3.4
Medley Pharmaceuticals,Pharma,17,Mumbai,1.8k,587,38,3.9
Bharat Biotech International,Biotechnology,13,Hyderabad,2.2k,587,62,3.1
Pathkind Diagnostics Private Limited,Healthcare,12,New Delhi,1.8k,587,54,4.0
Excitel Broadband,Telecom,3,New Delhi,1.9k,586,57,3.6
AVTEC,Auto Components,10,Hosur,2.1k,586,26,3.5
Saudi Aramco,Oil & Gas,--,Mumbai,1.4k,586,61,4.5
HLL Lifecare,Healthcare,11,Thiruvananthapuram,1.7k,586,44,3.7
Vadilal Industries,FMCG,20,Ahmedabad,1.8k,586,36,4.1
Ofbusiness,Internet,71,Gurugram,2.6k,585,50,3.0
Coal India,Metals & Mining,--,Kolkata,1.9k,584,52,4.0
Maxicus,BPO,7,Vadodara,695,584,135,4.0
IDP Education Limited,Education & Training,24,Chennai,2.5k,584,68,3.6
Anmol Industries,FMCG,--,Kolkata,1.8k,583,64,3.9
Avaada Group,Power,211,Noida,2.2k,583,57,4.2
Consulting Engineers Group,Engineering & Construction,4,Jaipur,1.7k,583,47,4.1
Kiya.ai,IT Services & Consulting,243,Mumbai,4.2k,583,51,3.8
Sterling Oil Exploration & Energy Production,Oil & Gas,--,Lagos,1.3k,582,69,3.5
Eli Lilly and Company,Pharma,65,Bengaluru,4.6k,582,81,3.4
Varindera Constructions,Engineering & Construction,7,New Delhi,1.3k,582,49,4.4
Affinity Express,Marketing & Advertising,4,Pune,2.5k,582,38,2.8
EdgeVerve Systems,Software Product,59,Bengaluru,4.1k,581,67,3.3
APL Apollo Tubes,Iron & Steel,5,Raipur,1.9k,583,50,4.0
Ascent HR Technologies Private Limited,Software Product,14,Bengaluru,1.8k,580,44,3.7
Accion Labs,IT Services & Consulting,42,Bengaluru,4.7k,580,82,3.5
Efs Facilities Services,Facility Management Services,14,New Delhi,1.4k,580,34,3.7
Jubilant Generics,Pharma,--,Roorkee,2.3k,579,20,4.0
Infinity Learn,EdTech,71,Hyderabad,1.9k,580,102,4.2
BEML,Industrial Machinery,--,Bengaluru,1.7k,579,29,3.8
Pamac Finserve,BPO,2,Mumbai,1.6k,578,31,3.2
Quest Retail Private Limited,Retail,1,Gurugram,942,578,15,4.1
Hettich,Furniture & Furnishing,12,Mumbai,2.4k,578,43,3.7
Hilton,Hospitality,305,Bengaluru,1.5k,578,27,4.1
Micromax Informatics,Consumer Electronics & Appliances,--,New Delhi,1.3k,577,22,3.9
Capital Numbers Infotech,IT Services & Consulting,20,Kolkata,1.2k,577,46,4.2
NLC India Limited,Metals & Mining,--,Neyveli,1.2k,578,29,4.4
PTC,Software Product,152,Pune,4k,576,69,4.2
Vyapar,Software Product,128,Bengaluru,2.2k,576,75,3.6
PTC,Software Product,152,Pune,4k,576,69,4.2
Lulu International Shopping Mall,Retail,--,Lucknow,2.5k,575,42,3.7
Wood Group,Engineering & Construction,51,Chennai,2.7k,575,67,3.8
Cvent,Software Product,128,Gurugram,4.6k,575,102,3.2
GAMMON INDIA,Engineering & Construction,--,Mumbai,1.1k,575,31,3.7
Dr. Reddy's Foundation,Non-Profit,24,Hyderabad,1.7k,574,54,3.7
Gandhi Automations,Industrial Machinery,30,Mumbai,1.3k,574,40,4.0
Jindal Poly Films,Packaging,2,Nashik,2.4k,574,39,3.6
Orra Fine Jewellery,Jewellery,40,Mumbai,1.7k,574,48,3.5
PureSoftware,Software Product,42,Noida,3.7k,574,67,2.9
The Saraswat Co-operative Bank,Banking,5,Mumbai,3k,573,26,3.2
Perficient,IT Services & Consulting,18,Chennai,4.4k,573,47,3.8
Apitoria Pharma,Pharma,10,Hyderabad,767,573,39,4.2
Maharashtra State Electricity Distribution Company,Power,--,Pune,1.2k,572,24,4.2
Axiscades,IT Services & Consulting,11,Bengaluru,3.7k,572,62,3.1
Army Public School,Education & Training,--,New Delhi,1.2k,572,41,4.0
HashedIn by Deloitte,IT Services & Consulting,6,Bengaluru,5.5k,571,140,4.0
AVIOM,NBFC,1,New Delhi,1.2k,571,31,4.0
AVEVA,Software Product,45,Hyderabad,1.8k,571,30,4.0
PayU Payments,FinTech,127,Gurugram,4.2k,571,67,3.3
Crystal Crop Protection,Agro Chemicals,--,New Delhi,1.8k,570,24,3.9
HBL Power Systems,Electrical Equipment,14,Hyderabad,2.1k,570,33,4.0
WayCool Foods and Products,FMCG,--,Chennai,2.9k,569,42,3.4
Jaipur Rugs,Fashion & Textile,14,Jaipur,846,569,64,4.3
Aurionpro Solutions,Software Product,18,Mumbai,3.5k,568,37,3.4
TSYS|Total System Services,FinTech,29,Pune,4.2k,568,68,4.1
Fenesta Building Systems,Building Material,19,Gurugram,1.9k,569,39,4.0
Amway India Enterprises,Fitness & Wellness,5,Gurugram,2.1k,568,18,4.1
Damco Solutions,IT Services & Consulting,32,Noida,2.2k,568,44,3.5
Country Delight,Food Processing,2,Gurugram,2.4k,568,42,3.8
Applied Materials,Semiconductors,133,Bengaluru,4.7k,567,87,3.7
J K Fenner,Engineering & Construction,6,Chennai,2k,567,34,3.9
Alcon,Medical Equipment,44,Bengaluru,2.9k,566,44,3.8
Dishman Carbogen Amcis,Pharma,54,Ahmedabad,2.1k,566,36,3.6
Expleo Group,IT Services & Consulting,44,Pune,5.5k,567,48,3.4
Maxop Engineering Co.,Auto Components,9,Gurugram,2.3k,567,47,4.1
Pinnacle Infotech,IT Services & Consulting,5,Durgapur,2.8k,565,61,3.4
SoftAge Information Technology,IT Services & Consulting,5,Gurugram,889,565,22,3.6
FNP,Retail,15,New Delhi,2.3k,565,66,3.7
McCain Foods,FMCG,4,Mahesana,1.6k,565,37,4.1
Transport Corporation Of India,Logistics,--,Gurugram,1.8k,564,38,3.8
Allianz Services,Insurance,16,Thiruvananthapuram,2.4k,564,33,4.1
Baker Hughes,Oil & Gas,111,Bengaluru,4.1k,563,65,4.1
Iron Mountain Inc,IT Services & Consulting,87,Bengaluru,3k,564,30,3.8
Prochant,Analytics & KPO,39,Chennai,2.3k,563,68,3.9
Levi Strauss & Co.,Fashion & Textile,24,Bengaluru,2k,562,31,4.2
Empower,Financial Services,114,Bengaluru,4k,562,59,4.0
C5i,Analytics & KPO,18,Bengaluru,2.8k,562,54,4.2
Kauvery Hospital,Healthcare,2,Chennai,2.1k,562,37,4.0
HUDL,Software Product,--,Mumbai,1.9k,561,62,3.2
Wow Momo Foods,Hospitality,2,Kolkata,1.8k,566,47,3.6
Voyants Solutions,Engineering & Construction,115,Gurugram,1.7k,559,57,3.8
United Spirits,Beverage,2,Bengaluru,1.5k,559,14,4.1
Toyota Industries Engine India,Auto Components,--,Bengaluru,1.5k,559,31,4.3
Paras Dairy,Food Processing,3,New Delhi,1.6k,559,30,3.5
Lear Corporation,Auto Components,6,Pune,2.9k,559,25,4.0
Toothsi,Internet,--,Mumbai,2.2k,558,66,2.7
Matrimonialsindia,Internet,2,New Delhi,117,559,13,4.9
Andritz Hydro Location India,Chennai +28 other locations,22,Chennai,2.7k,559,34,3.8
Herbalife International,Healthcare,9,Bengaluru,2.6k,559,30,4.1
BAXY,Auto Components,--,Bhiwadi,2k,573,28,4.0
ArcelorMittal,Iron & Steel,9,Surat,2.9k,557,42,4.1
UTL Solar,Electronics Manufacturing,80,New Delhi,1.7k,557,59,3.6
DB Schenker,Logistics,--,Gurugram,2.2k,557,23,4.3
Genesys International Corporation,IT Services & Consulting,1,Mumbai,2.5k,556,21,3.4
Paramount Health Services Tpa,Insurance,21,Mumbai,2.3k,556,35,3.8
Solara Active Pharma Sciences,Pharma,--,Chennai,2.8k,556,44,3.7
"DATAMARK, Inc.",BPO,40,Chennai,1.7k,556,33,3.5
Congruex Asia Pacific,Engineering & Construction,3,Sahibzada Ajit Singh Nagar,2.2k,555,67,3.7
QSpiders,Education & Training,--,Bengaluru,1.8k,555,97,3.7
Courtyard by Marriott,Hospitality,--,Mumbai,1.1k,554,25,4.2
Renault,Automobile,--,Chennai,1.8k,554,32,4.1
BUSINESSNEXT,Software Product,22,Noida,3.8k,554,76,3.5
MITS Global Consulting,Recruitment,--,Mumbai,888,554,42,4.5
Laxmi Organic Industries,Chemicals,11,Mahad,2k,554,43,3.8
Mahendra NextWealth IT,IT Services & Consulting,6,Salem,1.8k,554,26,3.4
Artemis Hospitals,Healthcare,22,Gurugram,1.5k,553,19,4.2
Z X Learning,EdTech,--,Lucknow,358,553,44,4.3
Sandoz,Pharma,18,Hyderabad,2.4k,552,26,4.0
Prestige Group,Real Estate,9,Bengaluru,2.5k,552,47,4.3
Sandoz,Pharma,18,Hyderabad,2.4k,552,26,4.0
Practo,Internet,36,Bengaluru,3k,551,81,3.0
Bajaj Consumer Care,FMCG,5,Mumbai,1.4k,551,33,3.8
The Times of India,Media & Entertainment,--,New Delhi,2.8k,551,45,3.7
Western Refrigeration,Industrial Machinery,9,Vapi,2.3k,551,41,3.8
Innominds Software,IT Services & Consulting,40,Hyderabad,4.7k,551,48,3.2
Harman Finochem,Pharma,--,Chhatrapati Sambhajinagar,2.8k,551,43,3.6
Unimoni,FinTech,6,Chennai,2k,550,18,3.9
FiveS Digital,BPO,20,Jamshedpur,1.5k,550,57,3.4
Kirloskar Pneumatic,Industrial Machinery,1,Pune,2.6k,550,37,4.1
General Motors,Automobile,5,Pune,2.1k,550,34,4.0
Navin Fluorine International,Chemicals,2,Surat,2.6k,549,29,3.8
Titan Engineering & Automation,Engineering & Construction,6,Hosur,2.7k,549,36,3.8
Marelli,Auto Components,--,Gurugram,2.8k,548,44,3.5
SAEL Industries Limited,Power,37,New Delhi,1.9k,548,47,4.0
Bharat Fritz Werner,Industrial Machinery,10,Bengaluru,2.4k,548,33,3.9
Inox Wind,Power,--,Noida,1.7k,547,49,3.8
Carlsberg,Beverage,10,Gurugram,1.8k,547,37,4.0
MR.DIY,Retail,5,Mumbai,1.4k,547,48,3.4
Datamatics Business Solutions,Management Consulting,18,Mumbai,2.5k,547,46,3.4
Enco Engineers Combine,Auto Components,--,Gurugram,1.5k,546,36,3.7
GSPANN Technologies,IT Services & Consulting,64,Hyderabad,3.5k,545,48,4.1
L & W Constructions,Engineering & Construction,3,Bengaluru,1.8k,545,27,3.9
BLK Super Speciality Hospital,Healthcare,--,New Delhi,1.5k,545,34,3.9
Propertypistol Realty,Internet,31,Mumbai,2k,544,77,3.7
Anudip Foundation,Non-Profit,21,Kolkata,1.3k,544,160,3.7
Virtual Employee,Recruitment,1,Noida,3.1k,544,51,3.3
Kellogg Brown and Root,Engineering & Construction,91,Chennai,2.3k,544,41,4.1
Craftsman Automation,Auto Components,--,Coimbatore,2.4k,544,24,3.8
LendingKart,NBFC,13,Ahmedabad,2.6k,544,39,3.6
Offshore Infrastructures,Engineering & Construction,--,Mumbai,1.7k,543,25,4.2
Gayatri Projects,Engineering & Construction,12,Hyderabad,1.8k,542,40,3.9
WPP Media,Marketing & Advertising,2,Gurugram,3.9k,542,43,3.6
Utility Powertech,Power,--,New Delhi,1.7k,542,30,3.8
Maini Precision Products,Auto Components,6,Bengaluru,2.8k,541,40,3.4
Yokohama,Auto Components,--,Bahadurgarh,2.1k,541,27,3.7
Hi Tech Gears,Auto Components,--,Bhiwadi,2.1k,541,31,3.9
Eicher Motors,Automobile,--,Indore,1.6k,541,42,4.0
Roop Polymers,Auto Components,--,Gurugram,1.8k,540,30,3.9
Dhani Healthcare,FinTech,--,Gurugram,2.3k,540,59,3.5
RAK Ceramics,Building Material,--,Mumbai,1.7k,540,32,3.8
Bharti Infratel,Telecom,--,Gurugram,1.1k,539,6,4.7
Sulzer,Industrial Machinery,10,Pune,2.7k,539,35,3.9
RuralShores,BPO,6,Bengaluru,1.1k,539,23,3.7
Macawber Beekay,Industrial Machinery,13,Noida,1.7k,539,24,4.2
Unified Mentor,IT Services & Consulting,--,Bengaluru,390,538,125,4.2
Fena,FMCG,16,New Delhi,1.5k,538,31,4.0
AM Infoweb,BPO,24,Pune,1.4k,539,87,3.8
RadiSys,Telecom,--,Bengaluru,2.5k,537,51,3.8
Allianz Partners,Insurance,--,Gurugram,2.6k,537,39,3.7
Tracxn,Internet,95,Bengaluru,2.3k,537,113,2.7
Sanmina Sci,Electronics Manufacturing,24,Chennai,2.7k,537,33,4.1
Vestige,Fitness & Wellness,--,New Delhi,1.4k,536,40,4.3
Cpf India,Food Processing,1,Bengaluru,1.6k,536,25,4.1
Maxgen Technologies,IT Services & Consulting,--,Pune,1.1k,536,14,4.5
RMC Readymix,Building Material,5,Mumbai,1.4k,535,42,3.6
NMDC Limited,Metals & Mining,--,Jagdalpur,2k,535,45,4.1
S P Singla Constructions,Engineering & Construction,--,Patna,1.6k,535,37,3.5
Hitachi Cash Management Services,Other,7,Mumbai,1.2k,535,41,3.3
Insuremile,Internet,2,Bengaluru,76,535,83,4.7
Haldiram Snacks,Food Processing,13,Noida,1.7k,535,19,3.9
CTS Consulting & Technical Support,Engineering & Construction,--,Chennai,6.8k,534,173,3.7
Telenor,Telecom,--,Gurugram,580,534,9,4.1
NAV Backoffice,Accounting & Auditing,6,Jaipur,2.4k,535,37,3.8
Sterling,Healthcare,--,Mumbai,1k,534,36,4.0
Kidzee,EdTech,1,Kolkata,1.2k,534,24,3.9
Infiniti Research,Analytics & KPO,12,Bengaluru,1.7k,533,37,3.4
Micron Electricals,Engineering & Construction,2,Bengaluru,2.3k,533,37,4.1
Scaler Academy,EdTech,7,Bengaluru,2.4k,533,91,3.5
Vimta Labs,Clinical Research,12,Hyderabad,2.1k,533,39,3.5
Zycus Infotech,Software Product,59,Mumbai,3.2k,533,76,2.6
Castrol,Petrochemicals,67,Mumbai,1.9k,533,23,4.3
Dusters Total Solutions Services,Facility Management Services,7,Bengaluru,1.6k,532,20,3.9
My Home Constructions,Real Estate,4,Hyderabad,2.2k,531,35,4.3
Regalix,Marketing & Advertising,61,Hyderabad,2.8k,532,58,2.7
Premier Energies,Electronics Manufacturing,2,Hyderabad,1.9k,531,43,4.0
DFM Foods,FMCG,9,New Delhi,1.6k,531,37,4.0
Welspun Enterprises,Engineering & Construction,--,Mumbai,1.8k,531,52,4.1
CompuCom,IT Services & Consulting,9,Pune,3k,530,37,3.8
5paisa Capital Ltd.,Financial Services,5,Mumbai,1.6k,530,45,4.1
Zolo,Internet,--,Bengaluru,2.1k,529,59,3.3
Wellness Forever Medicare,Retail,5,Mumbai,1.7k,529,55,3.9
DM Immigration Consultant,Other,--,Bengaluru,34,529,--,1.0
Reliance Life Sciences,Clinical Research,8,Mumbai,2.6k,529,30,3.6
FMC Corporation,Agro Chemicals,--,Bharuch,1.7k,529,40,3.9
Canon,Consumer Electronics & Appliances,2,Gurugram,2k,529,22,3.9
Ralson Tyres Limited,Auto Components,13,Ludhiana,2.1k,529,48,3.6
Stock Holding Corporation of India,Financial Services,--,Mumbai,1.7k,528,35,3.5
Mecon,Metals & Mining,--,Ranchi,1.7k,528,45,3.9
ExxonMobil,Oil & Gas,364,Bengaluru,3.9k,528,83,3.8
Emaar India Limited,Real Estate,1,Gurugram,2.4k,527,28,3.6
Systra Consulting,Engineering & Construction,154,New Delhi,1.6k,527,36,3.9
Brigade Group,Real Estate,63,Bengaluru,2.6k,528,45,4.1
BOBCARD Ltd.,NBFC,21,Mumbai,1.4k,527,29,4.1
Magma General Insurance Limited,Insurance,5,Mumbai,2.3k,527,33,3.7
Capital Business Systems,IT Services & Consulting,13,New Delhi,1.6k,526,37,3.6
N.C.L. Industries,Building Material,4,Hyderabad,1.6k,526,38,3.7
Uttar Pradesh Power Corporation,Power,--,Lucknow,1.3k,526,11,4.0
Legrand,Electrical Equipment,--,Mumbai,2.3k,526,28,3.7
